timestamp,open,high,low,close,volume,symbol
2024-01-01 00:00:00,99.65,100.8,98.73,100.0,1290,BTCUSDT
2024-01-01 01:00:00,100.0,102.1118,99.0812,101.282,1316,BTCUSDT
2024-01-01 02:00:00,101.282,103.3523,100.3669,102.4939,1343,BTCUSDT
2024-01-01 03:00:00,102.4939,104.4545,101.5848,103.5698,1370,BTCUSDT
2024-01-01 04:00:00,103.5698,105.3599,102.6689,104.4523,1396,BTCUSDT
2024-01-01 05:00:00,104.4523,106.022,103.5616,105.0958,1422,BTCUSDT
2024-01-01 06:00:00,105.0958,106.4092,104.2172,105.4694,1447,BTCUSDT
2024-01-01 07:00:00,105.4694,106.5064,104.6046,105.5586,1472,BTCUSDT
2024-01-01 08:00:00,105.5586,106.5085,104.5166,105.3664,1495,BTCUSDT
2024-01-01 09:00:00,105.3664,106.3125,104.0793,104.913,1518,BTCUSDT
2024-01-01 10:00:00,104.913,105.8494,103.4173,104.2343,1540,BTCUSDT
2024-01-01 11:00:00,104.2343,105.1556,102.58,103.3799,1561,BTCUSDT
2024-01-01 12:00:00,103.3799,104.2812,101.6272,102.41,1581,BTCUSDT
2024-01-01 13:00:00,102.41,103.2873,100.625,101.3911,1600,BTCUSDT
2024-01-01 14:00:00,101.3911,102.2413,99.6424,100.3925,1617,BTCUSDT
2024-01-01 15:00:00,100.3925,101.2137,98.7466,99.4816,1634,BTCUSDT
2024-01-01 16:00:00,99.4816,100.2728,97.9986,98.7199,1650,BTCUSDT
2024-01-01 17:00:00,98.7199,99.4816,97.4495,98.1587,1664,BTCUSDT
2024-01-01 18:00:00,98.1587,98.8923,97.1376,97.8366,1677,BTCUSDT
2024-01-01 19:00:00,97.8366,98.5448,97.0855,97.7763,1690,BTCUSDT
2024-01-01 20:00:00,97.7763,98.6703,97.0915,97.9838,1701,BTCUSDT
2024-01-01 21:00:00,97.9838,99.1171,97.3026,98.4478,1712,BTCUSDT
2024-01-01 22:00:00,98.4478,99.7976,97.7678,99.1403,1721,BTCUSDT
2024-01-01 23:00:00,99.1403,100.6694,98.4591,100.0185,1730,BTCUSDT
2024-01-02 00:00:00,100.0185,101.6779,99.3336,101.0273,1331,BTCUSDT
2024-01-02 01:00:00,101.0273,102.7591,100.3364,102.1029,1339,BTCUSDT
2024-01-02 02:00:00,102.1029,103.8441,101.4038,103.1766,1346,BTCUSDT
